Corr	Sim	NN
15.98	15.75	15.84
20.33	29.99	30.43
3.42	2.63	2.83
48.99	45.44	42.96
29.42	40.77	41.64
61.15	41.08	42.96
4.92	4.16	4.47
8.41	5.91	5.95
18.91	23.63	23.81
120.09	77.80	80.82
11.85	9.21	8.88
20.74	33.45	33.66
9.63	7.40	7.49
18.35	11.28	12.14
4.15	3.69	3.85
34.03	27.51	27.61
18.35	20.32	20.66
23.92	31.65	31.39
32.74	23.81	24.87
7.23	6.65	6.58
15.32	13.09	13.22
9.37	8.15	7.83
25.96	18.92	19.35
11.88	8.35	8.74
6.29	5.71	5.67
23.80	19.94	20.58
7.17	7.40	7.50
7.85	7.71	7.72
8.63	6.12	6.58
51.67	68.39	68.31
11.92	9.71	9.37
9.63	7.51	7.52
15.68	11.70	11.80
6.98	5.20	5.31
9.01	6.55	6.58
25.12	19.09	18.41
5.42	3.98	4.33
13.86	12.74	12.10
3.20	2.51	2.74
26.49	26.98	27.69
6.97	6.42	6.49
71.45	64.26	67.39
27.30	32.59	33.20
30.90	33.59	31.79
11.50	8.57	8.64
4.45	3.50	3.66
33.51	24.75	26.27
65.18	48.41	49.21
88.91	56.72	63.17
11.10	10.62	10.67
6.41	4.56	4.74
9.51	8.03	8.08
96.35	83.96	79.98
5.71	3.74	3.94
12.06	9.59	9.61
9.64	8.10	8.09
17.71	14.79	14.80
136.71	123.64	128.35
18.25	19.08	18.73
14.14	11.68	11.48
4.47	3.60	3.95
5.56	4.54	5.02
46.96	49.51	47.09
5.08	3.53	3.68
12.86	12.43	12.27
19.88	17.20	17.79
8.87	7.49	7.67
22.68	14.71	15.34
71.90	66.79	70.42
67.33	53.64	54.31
11.23	8.76	8.61
65.97	53.63	53.89
13.60	8.92	9.75
16.15	10.81	11.38
21.95	16.72	16.72
43.31	34.17	34.25
4.13	3.33	3.40
21.03	14.26	14.15
24.69	22.84	23.26
22.03	15.71	16.27
15.68	10.91	11.45
8.66	7.59	7.59
18.21	21.46	21.18
15.62	18.90	18.57
7.26	4.80	4.87
8.49	7.35	7.22
7.30	4.85	5.10
20.22	23.92	23.80
31.12	23.10	22.98
7.17	7.06	7.27
8.61	5.89	6.14
4.76	3.92	3.90
18.67	20.09	20.38
12.62	11.48	11.58
20.96	14.67	14.69
8.02	5.65	5.84
4.78	4.43	4.61
16.06	16.08	16.21
8.58	5.71	6.01
